     af       AF   
     aa       AL   
     ae       DZ   
     as       AS   
     an       AD   
     ao       AO   
    am        AI   
     ay       AQ   
     aq       AG   
     ag       AR   
     ai       AM   
    aw       AW    
     at       AU   
    aca       AU   
   wea        AU   
     au       AT   
     aj       AZ   
     bf       BS   
     ba       BH   
     bg       BD   
     bb       BB   
    bw        BY   
     be       BE   
     bh       BZ   
    dm        BJ   
    bm        BM   
     bt       BT   
     bo       BO   
     bn       BA   
     bs       BW   
     bv       BV   
     bl       BR   
     bi       IO   
    vb       VG    
    bx        BN   
    bu       BG    
    uv        BF   
     br      MM    
    bd        BI   
    cm       CM    
    xxc      CA    
    abc      CA    
    bcc      CA    
   dcu       CA    
   mbc       CA    
    nkc      CA    
    nfc      CA    
    ntc      CA    
    nsc      CA    
    nuc      CA    
   onc       CA    
    pic      CA    
   quc       CA    
    snc      CA    
    ykc      CA    
    cv        CV   
     cj       KY   
    cx        CF   
    cd        TD   
     cl       CL   
    cc       CN    
     pf      CN    
    ch       TW  
    xa        CX   
    xb       CC    
    ck       CO    
    cq       KM    
     cf      CG    
       cg       CD 
      cw        CK    
      xga       AU    
       cr       CR    
       iv        CI   
       ci       HR    
       cu       CU    
       cy       CY    
       xr       CZ    
       dk       DK    
       ft        DJ   
       dq       DM    
       dr       DO    
      em         TL   
       ec       EC    
       ua       EG    
       es       SV    
       eg       GQ    
       ea       ER    
       er        EE   
       et        ET   
       fk        FK   
       fa       FO    
       fj        FJ   
       fi        FI   
       fr        FR   
       fg       GF    
       fp        PF   
      fs        TF    
       go       GA    
      gm        GM    
       gs       GE    
      gw        DE    
       gh        GH   
       gi        GI   
       gr        GR   
       gl        GL   
       gd        GD   
       gp        GP   
       gu        GU   
       gt        GT   
       gv        GN   
       pg       GW    
       gy        GY   
       ht        HT   
       hm        HM   
       vc        VA   
       ho        HN   
       hu        HU   
        ic        IS  
        ii       IN   
        io       ID   
        ir       IR   
        iq       IQ   
        iy       NT   
        ie        IE  
        is        IL  
        it        IT  
       jm        JM   
       ja        JP   
        ji       US   
       jo        JO   
       cb        KH   
       kz        KZ   
       ke        KE   
       gb        KI   
       kn        KP   
       ko        KR   
     kv       RS    
     ku      KW     
     kg       KG    
     ls       LA    
     lv       LV    
     le       LB    
     lo       LS    
     lb       LR    
     ly       LY    
     lh       LI    
     li       LT    
     lu       LU    
    xn        MK    
    mg       MG     
    mw       MW     
    my        MY    
    xc        MV    
    ml        ML    
    mm        MT    
    xe        MH    
    mq       MQ     
    mu        MR    
    mf        MU    
     ot       YT    
    mx        MX    
    fm        FM    
     xf       US    
    mv        MD    
    mc        MC    
    mp        MN    
    mo        ME    
    mj        MS    
    mr        MA    
    mz        MZ    
     sx       NA    
     nu       NR    
     np        NP   
     ne        NL   
     na        NL   
      nl      NC    
    xna       AU    
     nz        NZ   
     nq        NI   
     ng        NE   
     nr       NG    
     xh       NU    
     xx       XX    
     nx        NF   
     nw       MP    
    xoa       AU    
     no       NO    
     mk       OM    
     pk        PK   
     pw       PW    
     gz        PS   
     pn        PA   
     pp       PG    
     py        PY   
     pe        PE   
     ph        PH   
     pc        PN   
      pl       PL   
     po        PT   
     pr        PR   
     qa       QA    
    qea       AU    
     re        RE   
     rm       RO    
     ru       RU    
      rw        RW  
       xj       SH    
      xd        KN    
      xk        LC    
       xl       PM    
    xm        VC      
      ws        WS    
      sm        SM    
       sf       ST    
      su        SA    
      sg        SN    
      se        SC    
       sl       SL    
       si       SG    
      xo        SK    
      xv         SI   
      bp        SB    
      so        SO    
      sa        ZA    
     sxra       AU    
      xs        GS    
      sp        ES    
      sh        ES    
      xp        TW    
      ce        LK    
       sj       SD    
       sr       SR    
      sq        SZ    
      sw        SE    
      sz        CH    
      sy        SY    
       ta       TJ    
       tz       TZ    
     tma        AU    
      th       TH     
      tg       TG     
      tl       TK     
      to       TO     
      tr       TT     
      ti       TN     
      tu       TR     
      tk       TM     
      tc       TC     
      tv       TV     
      ug       UG     
      un       UA     
      ts       AE     
     enk       GB     
     stk       GB     
     wlk       GB     
     xxk       GB     
     nik       GB     
     uik       GB     
     xxu       US     
     alu       US     
     aku       US     
     azu       US     
     aru       US     
     cau       US     
     cou       US     
     ctu       US     
     deu       US     
      flu      US     
     gau       US     
     hiu       US     
     idu       US     
      ilu      US     
     inu       US     
     iau       US     
     ksu       US     
    kyu       US    
    lau       US    
   meu        US    
   mdu        US    
   mau        US    
    miu       US    
   mnu        US    
   msu        US    
   mou        US    
    mtu       US    
    nbu       US    
    nvu       US    
    nhu       US    
    nju       US    
   nmu        US    
    nyu       US    
    ncu       US    
    ndu       US    
    ohu       US    
    oku       US    
    oru       US    
    pau       US    
     riu      US    
    scu       US    
    sdu       US    
    tnu       US    
    txu       US    
    uc       US    
    utu       US    
    vtu       US    
    vau       US    
   wau        US    
   wvu        US    
    wiu       US    
   wyu        US    
     up       PU    
       uy        UY 
        ru       SU 
       uz        UZ 
       nn        VU 
       vp        XX 
       ve        VE 
       vra       AU 
       vm        VN 
       vi        VI 
       wk        WK 
       wf        WF 
       wj        PS 
      wea        AU 
       ss        EH 
       ye        YE 
       za        ZM 
        rh       ZW 
